Current Price,Original Price,Rating,Number OF Ratings,Battery Life (Days),Display Size,Weight,Discount Price,amazfit,ambrane,boat,crossbeats,dizo,fire-boltt,fitbit,fossil,gizmore,hammer,honor,huawei,noise,pebble,zebronics,Circle,Rectangle,Square,Beige,Black,Blue,Brown,Burgundy,Charcoal,Deep Wine,Green,Grey,Midnight,Orange,Pink,Purple,Red,Rose Gold,White,Fabric,Fluoroelastomer,Leather,Metal,Other,Plastic,Rubber,Silicon,Stainless Steel,Synthetic,Thermo Plastic Polyurethene
0.018733203161588288,0.16184373053493945,0.825,0.03357458623324057,0.12941176470588234,0.0378619153674833,0.7727272727272726,0.28923898764264977,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.005764062511257936,0.06673282587810517,0.7,0.03508638748952157,0.3411764705882353,0.035634743875278395,0.40909090909090906,0.6156005251220522,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.004323046883443451,0.19351569345762817,0.825,0.021389726535180877,0.12941176470588234,0.0378619153674833,0.9999999999999999,0.06288197735667589,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.002882031255628968,0.035155878844184495,0.7749999999999999,0.02245089472468581,0.3411764705882353,0.035634743875278395,0.40909090909090906,0.7328987278452261,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.0021615234417217254,0.024598557869954914,0.75,0.05282097914974101,0.3411764705882353,0.035634743875278395,0.40909090909090906,0.7736429896915625,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.005764062511257936,0.035155878844184495,0.7749999999999999,0.0016426302111514726,0.788235294117647,0.028953229398663696,0.40909090909090906,0.7510072886684539,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.004323046883443451,0.024598557869954914,0.75,0.05282097914974101,0.3411764705882353,0.035634743875278395,0.40909090909090906,0.7872244103111428,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.005764062511257936,0.045713199818414076,0.7749999999999999,0.01415536988252852,0.3411764705882353,0.04008908685968819,0.40909090909090906,0.7057358866087683,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.004323046883443451,0.024598557869954914,0.75,0.05282097914974101,0.3411764705882353,0.035634743875278395,0.40909090909090906,0.7872244103111428,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.005764062511257936,0.045713199818414076,0.7749999999999999,0.014665764323751595,0.788235294117647,0.0378619153674833,0.40909090909090906,0.7057358866087683,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.004323046883443451,0.035155878844184495,0.7749999999999999,0.02245089472468581,0.3411764705882353,0.035634743875278395,0.40909090909090906,0.74195300825684,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.005764062511257936,0.045713199818414076,0.7749999999999999,0.01415536988252852,0.3411764705882353,0.04008908685968819,0.40909090909090906,0.7057358866087683,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.005764062511257936,0.045713199818414076,0.7749999999999999,0.014665764323751595,0.788235294117647,0.0378619153674833,0.40909090909090906,0.7057358866087683,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
